fips_state_code,fips_county_code,state_abb,county_name,p_poor_fair_health,poor_phys_health_days,poor_ment_health_days,p_low_birthweight,p_adult_smokers,p_adult_obesity,food_env_index,p_phys_inactive,p_excess_drink,p_driving_deaths_alc,chlamydia_rate,teen_birth_rate,p_uninsured,prim_care_phys_rate,dentist_rate,ment_health_prov_rate,high_school_grad_rate,p_some_college_25_44,unemp_rate,p_child_poverty,p_singleparent_households,violent_crime_rate,injury_death_rate,particulate_matter,p_severe_housing_problems,p_drive_alone_work,population_2011,p_agelt_18,p_agege_65,p_af_am,p_native_am,p_asian,p_haw_pacisl,p_hispanic,p_non_hisp_white,p_not_prof_english,p_female,p_rural,p_diabetic,hiv_rate,age_adjusted_mortality,infant_mortality_rate,child_mortality_rate,p_food_insecure,mv_crash_mort_rate,drug_poison_mort_rate,median_hh_income,p_children_free_lunch,homicide_rate,county_fips
1,1,AL,Autauga County,0.228,5.1,3.6,0.09,0.217,0.305,7.445,0.294,0.167,0.255,446.9,39,0.139,38,27,2,0.8,0.547,0.065,0.185,0.301,302.91,69.6,12.92,0.117,0.878,55514,0.26,0.13,0.18,0.005,0.009,0.001,0.025,0.768,0.004,0.511,0.42,0.118,181.1,439.5,9,59.2,0.136,23.92,7.42,51441,0.361,3.57,1001
1,3,AL,Baldwin County,0.127,3.3,3.8,0.09,0.206,0.266,7.993,0.276,0.179,0.319,301.5,46.4,0.166,75,44,46,0.74,0.618,0.068,0.205,0.279,213.3,76.2,13.13,0.135,0.832,190790,0.226,0.177,0.094,0.007,0.008,0.001,0.045,0.834,0.018,0.511,0.423,0.118,188.1,365,6.4,58.7,0.131,19.98,14.71,48867,0.368,4.18,1003
1,5,AL,Barbour County,0.234,4.8,4.3,0.12,0.251,0.373,5.403,0.35,0.135,0.476,873.9,73.8,0.189,44,33,3,0.606,0.414,0.112,0.47,0.559,154.33,52.7,12.62,0.168,0.827,27201,0.212,0.152,0.467,0.006,0.005,0.002,0.049,0.468,0.022,0.463,0.678,0.142,388.1,459.3,12.8,105.3,0.23,26.17,,30287,0.664,5.13,1005
1,7,AL,Bibb County,0.179,4.7,5.1,0.13,0.259,0.343,7.799,0.37,0.112,0.276,465.6,49.3,0.16,22,16,,0.73,0.442,0.076,0.272,0.393,254.24,98.1,12.87,0.095,0.823,22597,0.216,0.139,0.221,0.003,0.001,0.001,0.02,0.747,0.005,0.46,0.684,0.111,106.7,541.8,11.2,103.9,0.158,33.79,16.58,37392,0.535,7.65,1007
1,9,AL,Blount County,0.242,5.9,3.9,0.08,0.213,0.304,8.648,0.35,0.055,0.233,175.1,47.6,0.181,19,19,3,0.81,0.463,0.062,0.231,0.253,164.46,89.3,12.66,0.126,0.805,57826,0.24,0.159,0.014,0.006,0.002,0.001,0.084,0.885,0.028,0.506,0.9,0.14,92.8,426.2,6.6,63.9,0.121,28.3,13,44225,0.439,4.08,1009
1,11,AL,Bullock County,0.23,4.2,,0.14,0.378,0.421,3.702,0.325,,0.4,1403.9,85.1,0.157,28,16,8,0.725,0.36,0.134,0.432,0.654,333.96,102.5,12.75,0.141,0.841,10474,0.212,0.146,0.688,0.009,0.002,0.008,0.078,0.224,0.032,0.458,0.514,0.175,409.1,514.8,,,0.27,58.66,,25854,0.901,,1011
1,13,AL,Butler County,0.199,3.9,3.5,0.1,0.305,0.383,6.352,0.369,0.109,0.154,639.2,61.5,0.164,34,29,19,0.72,0.462,0.109,0.421,0.494,452.92,70.8,12.82,0.165,0.887,20307,0.231,0.174,0.432,0.003,0.009,0,0.011,0.538,0.002,0.531,0.712,0.16,219.8,553,10.8,64,0.227,28.73,7.53,30605,0.679,9.58,1013
1,15,AL,Calhoun County,0.227,5.2,5.1,0.09,0.244,0.332,6.642,0.333,0.116,0.2,663,50.7,0.169,67,46,63,0.787,0.508,0.076,0.314,0.388,553.33,78.4,12.89,0.145,0.844,117296,0.227,0.152,0.205,0.005,0.008,0.001,0.034,0.735,0.011,0.519,0.337,0.139,185.4,532.3,8,81.3,0.175,22.73,11.18,39212,0.51,11.31,1015
1,17,AL,Chambers County,0.385,5,4.3,0.12,0.241,0.354,6.071,0.387,,0.25,766.1,62.6,0.179,38,23,,0.8,0.471,0.093,0.347,0.516,575.7,77.5,12.97,0.171,0.844,34064,0.22,0.176,0.385,0.002,0.006,0.001,0.017,0.582,0.005,0.523,0.491,0.15,318.2,531.1,6.7,62.8,0.21,27.08,9.44,32320,0.651,8.21,1017
1,19,AL,Cherokee County,0.242,6.1,5.2,0.09,0.244,0.314,8.166,0.342,0.149,0.303,268.6,52.2,0.172,27,15,15,0.72,0.535,0.071,0.299,0.258,335.88,80.9,12.93,0.102,0.805,26021,0.208,0.193,0.047,0.005,0.002,0,0.014,0.92,0.002,0.504,0.857,0.136,119.8,466.5,,72.7,0.15,25.78,12.89,37868,0.508,,1019
1,21,AL,Chilton County,0.205,4.6,4.9,0.1,0.201,0.383,8.105,0.315,0.093,0.246,321.2,57.7,0.202,18,20,14,0.73,0.433,0.065,0.302,0.299,692.29,99.3,12.93,0.162,0.807,43819,0.246,0.145,0.098,0.005,0.003,0.002,0.076,0.811,0.021,0.508,0.867,0.125,98.7,521.7,9.9,98.5,0.145,36.11,18.39,39621,0.523,4.68,1021
1,23,AL,Choctaw County,0.316,5.6,4.6,0.12,0.199,0.389,6,0.379,,0.346,462.9,45.8,0.176,37,44,,0.775,0.435,0.09,0.301,0.457,111.71,80.7,12.82,0.111,0.825,13633,0.218,0.196,0.431,0.002,0.002,0,0.006,0.555,0,0.523,1,0.173,258,515.6,,,0.199,44.97,,33390,0.683,,1023
1,25,AL,Clarke County,0.218,4.4,3,0.13,0.137,0.36,5.144,0.37,0.088,0.27,821.2,41.9,0.184,47,28,20,0.779,0.458,0.121,0.318,0.481,491.47,72.3,13.01,0.159,0.864,25161,0.236,0.172,0.441,0.004,0.003,0,0.011,0.534,0.001,0.528,0.76,0.157,117.8,452.2,9.5,48.8,0.244,31.34,,34606,0.601,8.11,1025
