"","hhincome","educ_wife_lvl","educ_husb_lvl","hours_housewk_husb","hours_housewk_wife","educ_wife_lvl_LessHS","educ_wife_lvl_SomeUN","educ_wife_lvl_UNIV","educ_husb_lvl_LessHS","educ_husb_lvl_SomeUN","educ_husb_lvl_UNIV","both_univ","both_hs"
"1",158,"LessHS","LessHS",4.96,9.9,1,0,0,1,0,0,0,1
"2",81,"LessHS","LessHS",0,1.6,1,0,0,1,0,0,0,1
"3",99,"LessHS","SomeUN",0,2.68,1,0,0,0,1,0,0,0
"4",153,"SomeUN","LessHS",3.08,8.99,0,1,0,1,0,0,0,0
"5",219,"UNIV","UNIV",12.29,20.05,0,0,1,0,0,1,1,0
"6",149,"LessHS","SomeUN",5.2,9.38,1,0,0,0,1,0,0,0
"7",150,"UNIV","UNIV",1.87,8.5,0,0,1,0,0,1,1,0
"8",156,"LessHS","SomeUN",5.06,10.14,1,0,0,0,1,0,0,0
"9",135,"SomeUN","UNIV",0.39,7.31,0,1,0,0,0,1,0,0
"10",144,"LessHS","LessHS",6.99,9.28,1,0,0,1,0,0,0,1
"11",214,"UNIV","UNIV",11.75,18.92,0,0,1,0,0,1,1,0
"12",123,"LessHS","SomeUN",3.76,6.53,1,0,0,0,1,0,0,0
"13",193,"UNIV","SomeUN",9.93,15.32,0,0,1,0,1,0,0,0
"14",162,"SomeUN","LessHS",4.65,10.46,0,1,0,1,0,0,0,0
"15",170,"SomeUN","LessHS",5.38,11.8,0,1,0,1,0,0,0,0
"16",107,"LessHS","SomeUN",0,4.75,1,0,0,0,1,0,0,0
"17",92,"LessHS","LessHS",0,2.65,1,0,0,1,0,0,0,1
"18",160,"UNIV","SomeUN",6.65,10.26,0,0,1,0,1,0,0,0
"19",142,"LessHS","SomeUN",5.77,8.67,1,0,0,0,1,0,0,0
"20",112,"SomeUN","LessHS",0,4.19,0,1,0,1,0,0,0,0
"21",149,"LessHS","SomeUN",5.9,9.38,1,0,0,0,1,0,0,0
"22",96,"LessHS","LessHS",0,3.16,1,0,0,1,0,0,0,1
"23",79,"LessHS","LessHS",0,1.89,1,0,0,1,0,0,0,1
"24",100,"LessHS","UNIV",2.77,4.34,1,0,0,0,0,1,0,0
"25",146,"SomeUN","UNIV",3.03,8.97,0,1,0,0,0,1,0,0
"26",102,"LessHS","LessHS",0.38,4.06,1,0,0,1,0,0,0,1
"27",215,"UNIV","UNIV",13.81,19.98,0,0,1,0,0,1,1,0
"28",54,"LessHS","LessHS",0,0.33,1,0,0,1,0,0,0,1
"29",163,"SomeUN","UNIV",3.84,10.61,0,1,0,0,0,1,0,0
"30",93,"LessHS","SomeUN",1.29,3.78,1,0,0,0,1,0,0,0
"31",100,"LessHS","SomeUN",2.83,4.54,1,0,0,0,1,0,0,0
"32",189,"SomeUN","UNIV",8.37,15.12,0,1,0,0,0,1,0,0
"33",149,"LessHS","LessHS",3.23,8.58,1,0,0,1,0,0,0,1
"34",147,"UNIV","UNIV",3.83,8.32,0,0,1,0,0,1,1,0
"35",126,"LessHS","SomeUN",1.14,6.27,1,0,0,0,1,0,0,0
"36",144,"LessHS","LessHS",3.42,8.92,1,0,0,1,0,0,0,1
"37",131,"LessHS","SomeUN",3.06,7.36,1,0,0,0,1,0,0,0
"38",135,"LessHS","UNIV",2.34,7.61,1,0,0,0,0,1,0,0
"39",140,"LessHS","LessHS",2.59,7.17,1,0,0,1,0,0,0,1
"40",104,"LessHS","LessHS",0,3.34,1,0,0,1,0,0,0,1
"41",107,"SomeUN","LessHS",0,3.72,0,1,0,1,0,0,0,0
"42",124,"SomeUN","LessHS",0.12,5.13,0,1,0,1,0,0,0,0
"43",208,"SomeUN","SomeUN",11.11,18.07,0,1,0,0,1,0,0,0
"44",115,"SomeUN","SomeUN",0,4.8,0,1,0,0,1,0,0,0
"45",125,"UNIV","LessHS",3.51,5.77,0,0,1,1,0,0,0,0
"46",141,"LessHS","SomeUN",3.21,7.94,1,0,0,0,1,0,0,0
"47",131,"LessHS","UNIV",3.63,6.74,1,0,0,0,0,1,0,0
"48",107,"SomeUN","SomeUN",0,3.65,0,1,0,0,1,0,0,0
"49",170,"LessHS","SomeUN",7.24,12.22,1,0,0,0,1,0,0,0
"50",193,"LessHS","SomeUN",8.77,15.75,1,0,0,0,1,0,0,0
"51",88,"LessHS","LessHS",0,2.2,1,0,0,1,0,0,0,1
"52",129,"UNIV","UNIV",0,6.24,0,0,1,0,0,1,1,0
"53",85,"LessHS","LessHS",0,2.41,1,0,0,1,0,0,0,1
"54",101,"LessHS","SomeUN",0.32,3.72,1,0,0,0,1,0,0,0
"55",126,"LessHS","LessHS",0.55,5.84,1,0,0,1,0,0,0,1
"56",175,"LessHS","SomeUN",10.01,13.17,1,0,0,0,1,0,0,0
"57",107,"LessHS","LessHS",0,3.78,1,0,0,1,0,0,0,1
"58",119,"LessHS","LessHS",3.59,5.8,1,0,0,1,0,0,0,1
"59",84,"LessHS","LessHS",0,2.54,1,0,0,1,0,0,0,1
"60",150,"UNIV","LessHS",4.22,8.57,0,0,1,1,0,0,0,0
"61",155,"LessHS","LessHS",4.9,9.84,1,0,0,1,0,0,0,1
"62",161,"SomeUN","LessHS",5.25,10.15,0,1,0,1,0,0,0,0
"63",173,"LessHS","SomeUN",10.69,13.6,1,0,0,0,1,0,0,0
"64",97,"LessHS","LessHS",0,2.93,1,0,0,1,0,0,0,1
"65",124,"LessHS","SomeUN",1.48,5.49,1,0,0,0,1,0,0,0
"66",166,"SomeUN","UNIV",5.14,11.74,0,1,0,0,0,1,0,0
"67",216,"UNIV","UNIV",12.26,19.61,0,0,1,0,0,1,1,0
"68",105,"SomeUN","LessHS",0,3.65,0,1,0,1,0,0,0,0
"69",166,"SomeUN","SomeUN",3.69,11.3,0,1,0,0,1,0,0,0
"70",68,"LessHS","LessHS",0,0.64,1,0,0,1,0,0,0,1
"71",46,"LessHS","LessHS",0,0.07,1,0,0,1,0,0,0,1
"72",116,"LessHS","LessHS",0,4.9,1,0,0,1,0,0,0,1
"73",100,"SomeUN","LessHS",0,3.44,0,1,0,1,0,0,0,0
"74",150,"SomeUN","SomeUN",2.48,8.6,0,1,0,0,1,0,0,0
"75",197,"UNIV","SomeUN",12.77,16.33,0,0,1,0,1,0,0,0
"76",137,"SomeUN","UNIV",2.06,7.41,0,1,0,0,0,1,0,0
"77",169,"UNIV","UNIV",4.21,11.24,0,0,1,0,0,1,1,0
"78",135,"SomeUN","UNIV",1.04,6.85,0,1,0,0,0,1,0,0
"79",109,"LessHS","LessHS",0,4.28,1,0,0,1,0,0,0,1
"80",196,"UNIV","UNIV",11.68,15.87,0,0,1,0,0,1,1,0
"81",167,"LessHS","LessHS",5.69,11.24,1,0,0,1,0,0,0,1
"82",69,"LessHS","LessHS",0,1.07,1,0,0,1,0,0,0,1
"83",110,"LessHS","UNIV",0.69,4.63,1,0,0,0,0,1,0,0
"84",148,"UNIV","SomeUN",3.69,8.69,0,0,1,0,1,0,0,0
"85",177,"SomeUN","SomeUN",5.48,12.68,0,1,0,0,1,0,0,0
"86",197,"UNIV","SomeUN",9.34,15.94,0,0,1,0,1,0,0,0
"87",113,"UNIV","LessHS",0.32,4.48,0,0,1,1,0,0,0,0
"88",147,"LessHS","LessHS",5.6,8.77,1,0,0,1,0,0,0,1
"89",137,"LessHS","SomeUN",4.93,8.2,1,0,0,0,1,0,0,0
"90",153,"UNIV","SomeUN",4.35,9.36,0,0,1,0,1,0,0,0
"91",132,"LessHS","LessHS",1.22,6.38,1,0,0,1,0,0,0,1
"92",173,"LessHS","SomeUN",8.47,12.54,1,0,0,0,1,0,0,0
"93",140,"LessHS","SomeUN",2.86,7.75,1,0,0,0,1,0,0,0
"94",173,"LessHS","UNIV",7.41,12.59,1,0,0,0,0,1,0,0
"95",131,"LessHS","LessHS",0.71,6.04,1,0,0,1,0,0,0,1
"96",116,"LessHS","LessHS",0.98,5.3,1,0,0,1,0,0,0,1
"97",167,"LessHS","LessHS",5.79,11.2,1,0,0,1,0,0,0,1
"98",86,"LessHS","SomeUN",0,2.85,1,0,0,0,1,0,0,0
"99",141,"LessHS","LessHS",6.72,8.37,1,0,0,1,0,0,0,1
"100",142,"UNIV","UNIV",1.61,8.02,0,0,1,0,0,1,1,0
"101",174,"SomeUN","LessHS",6.02,11.73,0,1,0,1,0,0,0,0
"102",96,"UNIV","LessHS",1.79,2.99,0,0,1,1,0,0,0,0
"103",128,"LessHS","LessHS",1.92,6.58,1,0,0,1,0,0,0,1
"104",162,"LessHS","SomeUN",8.77,11.59,1,0,0,0,1,0,0,0
"105",178,"LessHS","SomeUN",8.54,13.28,1,0,0,0,1,0,0,0
"106",144,"LessHS","SomeUN",2.15,8.17,1,0,0,0,1,0,0,0
"107",148,"LessHS","LessHS",3.99,8.66,1,0,0,1,0,0,0,1
"108",138,"LessHS","LessHS",2.6,7.06,1,0,0,1,0,0,0,1
"109",164,"SomeUN","SomeUN",3.6,10.63,0,1,0,0,1,0,0,0
"110",121,"LessHS","LessHS",0,5.41,1,0,0,1,0,0,0,1
"111",186,"UNIV","UNIV",9.03,14.27,0,0,1,0,0,1,1,0
"112",163,"LessHS","LessHS",5.3,10.9,1,0,0,1,0,0,0,1
"113",177,"LessHS","SomeUN",8.79,13.4,1,0,0,0,1,0,0,0
"114",93,"LessHS","LessHS",0,2.92,1,0,0,1,0,0,0,1
"115",134,"LessHS","SomeUN",5.65,8.04,1,0,0,0,1,0,0,0
"116",196,"SomeUN","UNIV",9.44,16.04,0,1,0,0,0,1,0,0
"117",122,"LessHS","LessHS",0,5.17,1,0,0,1,0,0,0,1
"118",192,"SomeUN","SomeUN",8.6,15.17,0,1,0,0,1,0,0,0
"119",111,"LessHS","LessHS",0,3.96,1,0,0,1,0,0,0,1
"120",160,"LessHS","LessHS",7.06,10.78,1,0,0,1,0,0,0,1
"121",167,"LessHS","SomeUN",8.78,12.31,1,0,0,0,1,0,0,0
"122",151,"LessHS","LessHS",6.02,9.45,1,0,0,1,0,0,0,1
"123",140,"SomeUN","SomeUN",1.13,7.26,0,1,0,0,1,0,0,0
"124",96,"LessHS","LessHS",0,3.16,1,0,0,1,0,0,0,1
"125",129,"LessHS","LessHS",4.04,7.17,1,0,0,1,0,0,0,1
"126",120,"SomeUN","SomeUN",0,5.17,0,1,0,0,1,0,0,0
"127",108,"LessHS","UNIV",0,4.61,1,0,0,0,0,1,0,0
"128",178,"SomeUN","SomeUN",5.44,12.87,0,1,0,0,1,0,0,0
"129",168,"UNIV","UNIV",4.33,11.42,0,0,1,0,0,1,1,0
"130",156,"LessHS","UNIV",4.82,9.81,1,0,0,0,0,1,0,0
"131",127,"LessHS","LessHS",0.18,5.87,1,0,0,1,0,0,0,1
"132",52,"LessHS","LessHS",0,0.56,1,0,0,1,0,0,0,1
"133",180,"SomeUN","SomeUN",5.93,13.18,0,1,0,0,1,0,0,0
"134",119,"LessHS","LessHS",0.0800000000000001,4.52,1,0,0,1,0,0,0,1
"135",193,"LessHS","SomeUN",9.47,15.89,1,0,0,0,1,0,0,0
"136",133,"LessHS","UNIV",2.9,7.34,1,0,0,0,0,1,0,0
"137",141,"LessHS","SomeUN",2.92,8.33,1,0,0,0,1,0,0,0
"138",148,"SomeUN","SomeUN",1.81,8.26,0,1,0,0,1,0,0,0
"139",138,"SomeUN","UNIV",1.77,7.5,0,1,0,0,0,1,0,0
"140",153,"LessHS","LessHS",4.1,9.53,1,0,0,1,0,0,0,1
"141",140,"LessHS","LessHS",3.77,7.8,1,0,0,1,0,0,0,1
"142",218,"UNIV","SomeUN",14.58,20.05,0,0,1,0,1,0,0,0
"143",127,"SomeUN","SomeUN",0,5.95,0,1,0,0,1,0,0,0
"144",167,"LessHS","UNIV",5.81,11.49,1,0,0,0,0,1,0,0
"145",99,"LessHS","SomeUN",1.55,4.14,1,0,0,0,1,0,0,0
"146",167,"LessHS","LessHS",4.51,11.19,1,0,0,1,0,0,0,1
"147",141,"UNIV","UNIV",0.0499999999999998,7.54,0,0,1,0,0,1,1,0
"148",112,"LessHS","LessHS",0,4.76,1,0,0,1,0,0,0,1
"149",127,"LessHS","LessHS",5.32,7.52,1,0,0,1,0,0,0,1
"150",127,"UNIV","SomeUN",2.44,6.47,0,0,1,0,1,0,0,0
"151",114,"LessHS","SomeUN",0,4.97,1,0,0,0,1,0,0,0
"152",185,"UNIV","SomeUN",10.21,14.08,0,0,1,0,1,0,0,0
"153",180,"LessHS","LessHS",7.29,13.19,1,0,0,1,0,0,0,1
"154",77,"LessHS","LessHS",0,1.47,1,0,0,1,0,0,0,1
"155",204,"SomeUN","UNIV",9.96,17.52,0,1,0,0,0,1,0,0
"156",142,"LessHS","UNIV",3.95,8.47,1,0,0,0,0,1,0,0
"157",181,"LessHS","UNIV",8.18,13.81,1,0,0,0,0,1,0,0
"158",131,"LessHS","SomeUN",5.17,7.87,1,0,0,0,1,0,0,0
"159",172,"SomeUN","LessHS",6.63,11.87,0,1,0,1,0,0,0,0
"160",166,"UNIV","UNIV",4.96,10.96,0,0,1,0,0,1,1,0
"161",78,"LessHS","LessHS",0,1.67,1,0,0,1,0,0,0,1
"162",155,"LessHS","LessHS",3.91,9.32,1,0,0,1,0,0,0,1
"163",129,"LessHS","LessHS",0.55,5.84,1,0,0,1,0,0,0,1
"164",104,"LessHS","LessHS",0,3.56,1,0,0,1,0,0,0,1
"165",74,"LessHS","LessHS",0,1.73,1,0,0,1,0,0,0,1
"166",130,"UNIV","UNIV",0,6.12,0,0,1,0,0,1,1,0
"167",110,"LessHS","LessHS",0,3.9,1,0,0,1,0,0,0,1
"168",203,"UNIV","SomeUN",10.52,16.89,0,0,1,0,1,0,0,0
"169",121,"SomeUN","SomeUN",0.48,5.24,0,1,0,0,1,0,0,0
"170",177,"LessHS","SomeUN",7.04,13.35,1,0,0,0,1,0,0,0
"171",118,"SomeUN","SomeUN",0,5.13,0,1,0,0,1,0,0,0
"172",151,"LessHS","SomeUN",4.68,9.15,1,0,0,0,1,0,0,0
"173",148,"LessHS","LessHS",4.67,8.97,1,0,0,1,0,0,0,1
"174",129,"LessHS","LessHS",3.41,6.89,1,0,0,1,0,0,0,1
"175",116,"LessHS","LessHS",0.95,4.86,1,0,0,1,0,0,0,1
"176",201,"LessHS","UNIV",11.67,17.45,1,0,0,0,0,1,0,0
"177",162,"LessHS","SomeUN",5.15,10.68,1,0,0,0,1,0,0,0
"178",100,"LessHS","LessHS",0,2.96,1,0,0,1,0,0,0,1
"179",127,"SomeUN","SomeUN",0.0800000000000001,6.08,0,1,0,0,1,0,0,0
"180",148,"SomeUN","SomeUN",1.92,8.23,0,1,0,0,1,0,0,0
"181",164,"LessHS","LessHS",5.95,11.02,1,0,0,1,0,0,0,1
"182",187,"LessHS","SomeUN",7.86,14.75,1,0,0,0,1,0,0,0
"183",109,"SomeUN","SomeUN",0,4.31,0,1,0,0,1,0,0,0
"184",183,"LessHS","UNIV",9.67,14.53,1,0,0,0,0,1,0,0
"185",123,"SomeUN","SomeUN",0,5.6,0,1,0,0,1,0,0,0
"186",111,"LessHS","LessHS",1.79,4.46,1,0,0,1,0,0,0,1
"187",117,"LessHS","SomeUN",0,4.78,1,0,0,0,1,0,0,0
"188",132,"LessHS","SomeUN",3.79,7.06,1,0,0,0,1,0,0,0
"189",93,"LessHS","LessHS",0,2.71,1,0,0,1,0,0,0,1
"190",100,"LessHS","LessHS",0,3.7,1,0,0,1,0,0,0,1
"191",135,"SomeUN","UNIV",1.39,7.35,0,1,0,0,0,1,0,0
"192",136,"LessHS","UNIV",2.23,7.29,1,0,0,0,0,1,0,0
"193",189,"SomeUN","SomeUN",8.13,15,0,1,0,0,1,0,0,0
"194",116,"SomeUN","LessHS",1.57,5.15,0,1,0,1,0,0,0,0
"195",198,"SomeUN","UNIV",9.02,16.48,0,1,0,0,0,1,0,0
"196",146,"LessHS","UNIV",3.49,8.34,1,0,0,0,0,1,0,0
"197",176,"SomeUN","LessHS",5.86,12.27,0,1,0,1,0,0,0,0
"198",126,"UNIV","LessHS",3.08,6.05,0,0,1,1,0,0,0,0
"199",124,"SomeUN","LessHS",0.88,5.79,0,1,0,1,0,0,0,0
"200",100,"LessHS","SomeUN",0,3.5,1,0,0,0,1,0,0,0
"201",117,"LessHS","LessHS",1.67,5.54,1,0,0,1,0,0,0,1
"202",85,"LessHS","LessHS",0,2.28,1,0,0,1,0,0,0,1
"203",139,"LessHS","SomeUN",5.91,8.46,1,0,0,0,1,0,0,0
"204",128,"UNIV","SomeUN",0,6.16,0,0,1,0,1,0,0,0
"205",186,"SomeUN","SomeUN",7.37,14.32,0,1,0,0,1,0,0,0
"206",175,"SomeUN","UNIV",6.63,13.24,0,1,0,0,0,1,0,0
"207",212,"UNIV","SomeUN",11.55,18.8,0,0,1,0,1,0,0,0
"208",101,"LessHS","SomeUN",0,3.48,1,0,0,0,1,0,0,0
"209",128,"LessHS","LessHS",3.21,6.18,1,0,0,1,0,0,0,1
"210",164,"LessHS","SomeUN",8.43,11.6,1,0,0,0,1,0,0,0
"211",199,"SomeUN","UNIV",10.34,16.89,0,1,0,0,0,1,0,0
"212",89,"LessHS","LessHS",0,2.19,1,0,0,1,0,0,0,1
"213",113,"LessHS","LessHS",0.14,4.39,1,0,0,1,0,0,0,1
"214",201,"LessHS","UNIV",12.07,17.89,1,0,0,0,0,1,0,0
"215",170,"LessHS","SomeUN",8.58,12.78,1,0,0,0,1,0,0,0
"216",75,"LessHS","LessHS",0,1.6,1,0,0,1,0,0,0,1
"217",116,"SomeUN","LessHS",0,4.75,0,1,0,1,0,0,0,0
"218",164,"UNIV","SomeUN",5.14,10.63,0,0,1,0,1,0,0,0
"219",74,"LessHS","LessHS",0,1.03,1,0,0,1,0,0,0,1
"220",147,"SomeUN","LessHS",4.03,8.32,0,1,0,1,0,0,0,0
"221",101,"LessHS","LessHS",0,3.31,1,0,0,1,0,0,0,1
"222",184,"LessHS","SomeUN",8.34,14.26,1,0,0,0,1,0,0,0
"223",53,"LessHS","LessHS",0,0.39,1,0,0,1,0,0,0,1
"224",104,"LessHS","LessHS",1.04,4.12,1,0,0,1,0,0,0,1
"225",97,"LessHS","LessHS",0.88,3.85,1,0,0,1,0,0,0,1
"226",101,"LessHS","SomeUN",0.49,3.59,1,0,0,0,1,0,0,0
"227",85,"LessHS","LessHS",0,1.99,1,0,0,1,0,0,0,1
"228",95,"LessHS","LessHS",0,2.56,1,0,0,1,0,0,0,1
"229",140,"LessHS","SomeUN",2.36,7.7,1,0,0,0,1,0,0,0
"230",74,"LessHS","LessHS",0,1.49,1,0,0,1,0,0,0,1
"231",130,"LessHS","LessHS",3.86,6.38,1,0,0,1,0,0,0,1
"232",168,"UNIV","SomeUN",4.72,11.5,0,0,1,0,1,0,0,0
"233",121,"LessHS","LessHS",0.63,4.98,1,0,0,1,0,0,0,1
"234",72,"LessHS","LessHS",0.37,2.11,1,0,0,1,0,0,0,1
"235",128,"SomeUN","LessHS",1.85,5.87,0,1,0,1,0,0,0,0
"236",106,"LessHS","SomeUN",2.34,4.88,1,0,0,0,1,0,0,0
"237",113,"LessHS","SomeUN",0.73,5.21,1,0,0,0,1,0,0,0
"238",120,"LessHS","LessHS",0.24,5.28,1,0,0,1,0,0,0,1
"239",178,"SomeUN","UNIV",5.66,13,0,1,0,0,0,1,0,0
"240",125,"LessHS","SomeUN",1.69,6.36,1,0,0,0,1,0,0,0
"241",151,"SomeUN","UNIV",1.8,8.68,0,1,0,0,0,1,0,0
"242",156,"LessHS","LessHS",3.66,9.36,1,0,0,1,0,0,0,1
"243",65,"LessHS","LessHS",0.56,1.9,1,0,0,1,0,0,0,1
"244",112,"SomeUN","SomeUN",0,4.39,0,1,0,0,1,0,0,0
"245",194,"LessHS","SomeUN",10.12,15.94,1,0,0,0,1,0,0,0
"246",125,"SomeUN","SomeUN",0,5.53,0,1,0,0,1,0,0,0
"247",113,"LessHS","SomeUN",1.66,5.17,1,0,0,0,1,0,0,0
"248",138,"LessHS","LessHS",4.52,7.62,1,0,0,1,0,0,0,1
"249",119,"SomeUN","SomeUN",0,4.52,0,1,0,0,1,0,0,0
"250",120,"LessHS","SomeUN",2.03,5.45,1,0,0,0,1,0,0,0
"251",137,"UNIV","SomeUN",3.01,7.71,0,0,1,0,1,0,0,0
