"educ_yrs","age","exper","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
14,23,3,3,5,1,0,5,18,0,0,1,1
5,33,22,3,4,1,0,5,18,0,1,0,0
9,23,8,3,5,1,0,5,23,0,1,0,0
12,38,20,3,5,1,0,5,8,1,0,0,0
4,25,15,3,3,1,0,5,18,0,0,1,0
6,24,12,4,2,1,0,5,17,0,1,0,0
13,20,1,3,4,1,0,5,18,1,0,0,0
0,44,38,3,4,1,0,5,24,1,0,0,0
11,28,11,3,5,1,0,5,28,0,1,0,0
12,29,11,3,5,1,0,5,19,1,0,0,0
8,19,5,3,5,1,0,5,5,0,0,1,0
15,25,4,2,5,1,0,5,25,0,0,1,0
16,40,18,7,5,1,0,5,24,1,0,0,1
7,32,19,3,4,1,0,5,32,1,0,0,0
7,37,24,2,3,1,0,5,13,0,0,1,0
10,19,3,2,4,1,0,5,19,0,0,1,0
9,37,22,2,4,1,0,5,31,0,1,0,0
16,27,5,2,5,1,0,5,24,0,0,1,0
8,32,18,4,4,1,0,5,17,1,0,0,0
7,34,21,4,3,1,0,5,30,1,0,0,0
0,38,32,2,2,1,1,5,38,0,0,1,0
3,44,35,4,1,1,1,5,20,0,1,0,0
8,23,9,4,1,1,1,5,20,1,0,0,0
13,22,3,4,3,1,1,5,21,1,0,0,0
14,33,13,6,4,1,0,5,17,0,1,0,0
0,42,36,2,1,1,1,5,42,1,0,0,0
4,28,18,2,1,1,1,5,28,0,0,1,0
10,19,3,2,1,1,1,5,19,0,1,0,0
6,31,19,5,1,1,1,5,31,1,0,0,0
0,36,30,5,3,1,0,5,21,0,1,0,0
8,27,13,3,4,1,0,5,18,1,0,0,0
15,23,2,2,5,1,0,5,23,1,0,0,0
15,38,17,2,5,1,0,5,38,0,0,1,0
7,47,34,6,3,1,1,5,47,1,0,0,1
12,22,4,3,5,1,0,5,22,0,1,0,0
6,39,27,3,4,1,0,5,38,1,0,0,0
12,20,2,5,5,1,0,5,20,1,0,0,0
0,46,40,5,1,1,1,5,46,0,0,1,0
12,46,28,4,4,1,0,5,46,1,0,0,0
7,28,15,6,1,1,1,5,28,0,1,0,0
11,18,1,6,4,1,0,5,18,0,1,0,0
8,33,19,3,3,1,0,5,33,1,0,0,0
10,35,19,2,5,1,0,5,35,1,0,0,0
8,40,26,5,3,1,1,5,40,0,1,0,0
8,32,18,5,5,1,0,5,21,0,1,0,0
10,25,9,4,3,1,1,5,25,1,0,0,0
12,27,9,4,4,1,1,5,27,0,1,0,0
12,24,6,3,3,1,1,5,24,1,0,0,0
5,18,7,3,2,1,1,5,18,0,1,0,0
12,35,17,4,3,1,1,5,21,0,1,0,0
6,39,27,3,2,1,1,5,39,0,1,0,0
15,28,7,5,1,1,1,5,28,1,0,0,0
12,23,5,5,2,1,1,5,3,1,0,0,0
5,25,14,4,3,1,1,5,NA,1,0,0,0
9,23,8,4,3,1,1,5,NA,1,0,0,0
13,22,3,3,3,1,1,5,22,1,0,0,0
10,26,10,3,5,1,1,5,26,0,1,0,0
9,26,11,3,5,1,1,5,18,1,0,0,0
8,37,23,3,3,1,1,5,22,1,0,0,0
12,19,1,3,2,1,1,5,19,1,0,0,0
12,26,8,3,4,1,1,5,26,0,1,0,0
6,28,16,3,2,1,1,5,28,1,0,0,0
8,17,3,4,3,1,1,5,17,1,0,0,0
8,32,18,2,3,1,1,5,23,1,0,0,0
5,43,32,4,4,1,0,5,43,0,1,0,0
7,33,20,4,3,1,0,5,33,0,1,0,0
13,21,2,5,5,1,0,5,20,0,0,0,0
12,23,5,4,4,1,0,5,20,0,1,0,0
15,32,11,4,4,1,0,5,25,0,1,0,0
12,47,29,4,3,1,0,5,NA,0,1,0,0
11,27,10,4,4,1,0,5,25,1,0,0,0
14,26,6,3,4,1,0,5,26,0,1,0,0
8,41,27,4,5,1,0,5,19,1,0,0,0
12,23,5,4,4,1,0,5,23,1,0,0,0
12,20,2,4,5,1,0,5,20,0,1,0,0
7,42,29,2,2,1,1,5,22,0,1,0,0
14,20,0,4,4,1,1,5,20,0,1,0,0
8,28,14,4,3,1,1,5,19,0,1,0,0
8,44,30,6,3,1,1,5,44,0,1,0,0
7,45,32,6,3,1,1,5,45,0,1,0,0
1,45,38,6,1,1,1,5,45,0,1,0,0
3,40,31,6,2,1,1,5,23,0,1,0,0
7,35,22,5,1,1,1,5,35,0,1,0,0
8,25,11,5,2,1,1,5,20,0,0,0,0
4,49,39,5,1,1,1,5,49,0,1,0,0
5,42,31,5,2,1,1,5,42,0,0,0,0
8,35,21,5,3,1,1,5,35,0,1,0,0
12,33,15,5,4,1,1,5,27,0,1,0,0
12,32,14,2,2,1,1,5,0,1,0,0,0
12,22,4,6,1,1,1,5,22,0,1,0,0
12,19,1,4,5,1,0,5,19,1,0,0,0
8,34,20,5,5,1,0,5,25,1,0,0,0
10,25,9,5,4,1,1,5,22,1,0,0,0
11,20,3,3,5,1,0,5,19,1,0,0,1
11,18,1,3,5,1,0,5,8,0,1,0,1
12,27,9,5,4,1,1,5,18,1,0,0,0
11,20,3,2,1,1,1,5,20,1,0,0,0
13,31,12,6,4,1,1,5,31,1,0,0,0
12,21,3,3,3,1,1,5,21,1,0,0,0
6,47,35,7,2,1,1,5,47,0,1,0,0
16,35,13,5,5,1,0,5,28,1,0,0,0
5,43,32,2,1,1,1,5,43,1,0,0,0
12,18,0,6,3,1,1,5,18,1,0,0,1
10,44,28,2,2,1,1,5,17,1,0,0,1
11,34,17,2,1,1,1,5,19,1,0,0,1
11,39,22,5,4,1,1,5,0,1,0,0,1
8,41,27,3,5,1,0,5,41,1,0,0,1
15,24,3,3,5,1,0,5,24,1,0,0,1
8,35,21,3,4,1,0,5,35,1,0,0,1
12,27,9,3,4,1,0,5,27,1,0,0,1
8,22,8,3,5,1,0,5,22,1,0,0,1
8,36,22,3,4,1,0,5,24,1,0,0,1
8,22,8,3,2,1,1,5,22,1,0,0,1
5,31,20,2,1,1,1,5,22,0,1,0,1
8,41,27,2,3,1,1,5,38,1,0,0,1
8,49,35,2,3,1,1,5,13,1,0,0,1
8,43,29,4,4,1,1,5,38,1,0,0,1
8,39,25,4,3,1,1,5,19,1,0,0,1
10,22,6,3,2,1,1,5,20,1,0,0,1
10,15,-1,3,4,1,1,5,2,0,1,0,1
12,36,18,5,5,1,0,5,36,1,0,0,1
12,29,11,4,4,1,1,5,19,0,1,0,1
4,42,32,6,3,1,1,5,22,1,0,0,1
12,36,18,6,3,1,1,5,36,0,1,0,0
12,27,9,5,3,1,1,5,19,1,0,0,1
7,42,29,4,3,1,1,5,42,1,0,0,1
7,49,36,5,3,1,1,5,3,0,1,0,1
12,28,10,4,4,1,1,5,28,0,1,0,1
9,35,20,5,4,1,1,5,21,1,0,0,1
9,36,21,5,5,1,1,5,35,0,1,0,1
5,38,27,6,5,1,0,5,8,0,1,0,1
16,27,5,3,5,1,0,5,26,1,0,0,1
3,21,12,2,1,1,1,5,21,1,0,0,0
0,45,39,2,1,1,1,5,45,1,0,0,0
7,18,5,4,4,1,0,5,18,1,0,0,0
5,23,12,6,1,1,1,5,0,1,0,0,0
9,23,8,3,2,1,0,5,22,0,1,0,0
0,25,19,3,3,1,0,5,25,1,0,0,0
0,30,24,3,1,1,0,5,30,1,0,0,0
0,38,32,3,1,1,1,5,38,0,0,0,0
15,23,2,2,5,1,0,5,23,1,0,0,0
12,22,4,2,5,1,0,5,22,0,0,1,0
9,16,1,3,2,1,1,5,1,1,0,0,0
8,45,31,3,1,1,1,5,35,1,0,0,0
10,19,3,3,2,1,1,5,19,1,0,0,0
8,16,2,3,2,1,1,5,16,1,0,0,0
7,28,15,3,3,1,1,5,27,0,1,0,0
7,45,32,3,3,1,1,5,45,0,1,0,0
12,20,2,3,2,1,1,5,20,0,1,0,0
12,22,4,3,4,1,1,5,22,1,0,0,1
14,29,9,3,4,1,1,5,29,1,0,0,0
10,15,-1,2,3,1,1,5,15,0,1,0,0
8,17,3,2,3,1,1,5,17,0,1,0,0
9,23,8,2,2,1,1,5,23,0,1,0,0
9,48,33,2,2,1,1,5,18,1,0,0,0
8,32,18,3,2,1,1,5,17,0,1,0,0
8,22,8,3,2,1,1,5,22,1,0,0,0
9,17,2,3,1,1,1,5,17,0,1,0,0
13,21,2,2,4,1,0,5,15,1,0,0,0
13,22,3,2,5,1,0,5,20,1,0,0,0
15,27,6,2,5,1,0,5,20,1,0,0,0
15,26,5,2,5,1,0,5,26,1,0,0,0
12,39,21,2,3,1,0,5,38,0,1,0,1
11,27,10,4,2,1,0,5,27,0,1,0,0
15,30,9,4,4,1,0,5,20,1,0,0,0
9,27,12,2,4,1,1,5,20,1,0,0,0
12,28,10,2,4,1,1,5,28,0,1,0,0
12,28,10,3,3,1,1,5,28,1,0,0,0
12,24,6,2,4,1,1,5,24,1,0,0,0
15,30,9,3,5,1,1,5,5,1,0,0,0
16,31,9,3,5,1,0,5,30,0,1,0,1
8,35,21,3,5,1,0,5,15,0,1,0,1
12,25,7,3,3,1,0,5,18,1,0,0,0
12,22,4,3,4,1,0,5,22,0,1,0,0
4,45,35,3,4,1,0,5,15,1,0,0,0
15,23,2,3,5,1,0,5,18,1,0,0,0
14,35,15,5,2,1,1,5,26,1,0,0,0
10,37,21,5,3,1,1,5,37,1,0,0,0
12,37,19,5,2,1,1,5,37,1,0,0,0
12,21,3,5,5,1,1,5,20,1,0,0,0
13,23,4,5,4,1,1,5,NA,1,0,0,0
12,28,10,4,5,1,0,5,23,1,0,0,1
16,31,9,4,5,1,0,5,30,0,1,0,0
15,24,3,3,5,1,0,5,24,1,0,0,0
7,38,25,4,3,1,0,5,30,0,1,0,0
12,23,5,3,2,1,1,5,23,0,1,0,0
7,35,22,3,4,1,1,5,33,1,0,0,0
7,15,2,3,3,1,1,5,15,1,0,0,0
7,23,10,3,2,1,1,5,17,0,1,0,0
0,45,39,3,1,1,1,5,38,0,1,0,0
11,22,5,3,3,1,0,5,22,0,1,0,0
10,19,3,2,3,1,0,5,19,0,1,0,0
8,20,6,2,3,1,0,5,20,1,0,0,0
8,34,20,2,3,1,0,5,34,0,1,0,0
14,29,9,4,3,1,1,5,21,1,0,0,0
12,22,4,4,4,1,0,5,22,0,1,0,1
15,35,14,3,3,1,1,5,35,1,0,0,0
8,21,7,3,2,1,1,5,21,1,0,0,0
8,26,12,7,4,1,0,5,26,0,1,0,0
12,20,2,5,3,1,1,5,16,1,0,0,0
14,23,3,5,2,1,1,5,23,0,1,0,0
13,21,2,5,2,1,1,5,21,1,0,0,0
10,19,3,5,2,1,1,5,17,1,0,0,0
8,35,21,6,3,1,1,5,18,0,1,0,0
10,22,6,5,4,1,1,5,22,1,0,0,0
10,30,14,4,2,1,1,5,23,1,0,0,0
7,23,10,3,1,1,1,5,23,0,1,0,0
8,24,10,3,1,1,1,5,24,1,0,0,0
6,27,15,3,1,1,1,5,27,1,0,0,0
8,31,17,3,2,1,1,5,31,1,0,0,0
12,27,9,3,2,1,1,5,27,0,1,0,0
7,48,35,3,2,1,1,5,48,0,1,0,0
5,43,32,3,1,1,1,5,43,0,1,0,0
15,43,22,5,2,1,1,5,43,0,1,0,0
8,21,7,6,3,1,0,5,21,0,1,0,1
7,25,12,6,4,1,0,5,16,0,1,0,0
12,27,9,6,3,1,1,5,24,0,1,0,0
10,17,1,6,3,1,0,5,17,0,1,0,0
15,29,8,4,2,1,1,5,29,1,0,0,0
12,28,10,4,4,1,0,5,28,0,1,0,0
8,26,12,4,1,1,1,5,26,0,1,0,0
8,47,33,5,5,1,0,5,47,1,0,0,0
12,18,0,5,5,1,0,5,18,1,0,0,0
15,40,19,5,5,1,0,5,12,0,1,0,0
14,28,8,5,4,1,1,5,28,1,0,0,0
