month_interview,years_lived_elsewhere,educ_yrs,age,exper,female,rural,earnings_usd,christian_main,christian_evang,muslim,kikuyu,wealth_group
4,20,8,23,9,1,1,5,1,0,0,0,poorest
5,3,7,49,36,1,1,5,0,1,0,1,middle
2,0,8,35,21,1,0,5,1,0,0,0,richest
4,0,6,43,31,1,1,5,0,1,0,0,poorer
3,0,6,22,10,1,1,5,1,0,0,1,poorer
4,0,10,43,27,1,0,5,1,0,0,0,richest
2,0,10,24,8,1,1,5,1,0,0,0,richer
3,0,6,25,13,1,1,5,0,0,0,0,poorer
3,0,9,22,7,1,0,5,0,1,0,0,middle
4,24,15,24,3,1,0,5,1,0,0,1,richest
2,0,8,19,5,1,1,5,0,1,0,0,poorest
5,0,14,26,6,1,1,5,0,0,1,0,richest
5,21,0,36,30,1,0,5,0,1,0,0,middle
6,0,8,17,3,1,0,5,0,1,0,0,middle
6,0,8,43,29,1,1,5,0,1,0,0,poorest
5,18,10,27,11,1,1,5,1,0,0,0,richer
7,0,6,47,35,1,1,5,0,1,0,0,poorer
5,12,15,40,19,1,0,5,0,1,0,0,richest
5,49,7,49,36,1,0,5,0,1,0,0,richest
5,0,10,23,7,1,0,5,1,0,0,0,richest
4,20,10,23,7,1,0,5,0,1,0,0,richer
3,0,16,30,8,1,0,5,1,0,0,0,richest
3,0,10,27,11,1,0,5,1,0,0,1,richer
3,0,13,32,13,1,0,5,1,0,0,1,richest
5,0,8,35,21,1,1,5,0,1,0,0,middle
2,20,7,27,14,1,1,5,1,0,0,0,richer
4,21,10,22,6,1,0,5,1,0,0,1,richest
3,26,14,26,6,1,0,5,0,1,0,0,richer
4,25,10,45,29,1,1,5,1,0,0,1,middle
6,0,6,42,30,1,1,5,1,0,0,0,middle
4,0,15,28,7,1,1,5,1,0,0,0,richest
5,0,5,42,31,1,1,5,0,0,0,0,poorer
5,0,10,25,9,1,0,5,0,1,0,1,richer
4,0,10,28,12,1,0,5,0,1,0,0,richer
5,0,6,31,19,1,1,5,1,0,0,0,poorest
5,0,7,31,18,1,1,5,1,0,0,0,richer
3,0,8,35,21,1,0,5,1,0,0,1,richer
2,0,7,23,10,1,1,5,0,1,0,0,poorer
2,18,7,21,8,1,1,5,1,0,0,0,middle
3,8,9,18,3,1,0,5,0,1,0,1,richest
4,20,7,21,8,1,1,5,1,0,0,0,middle
5,26,12,35,17,1,1,5,1,0,0,0,poorer
2,17,10,22,6,1,0,5,1,0,0,0,richer
5,27,12,33,15,1,1,5,0,1,0,0,richer
3,18,7,26,13,1,1,5,1,0,0,0,richest
5,0,10,20,4,1,1,5,1,0,0,0,poorer
2,0,8,20,6,1,0,5,1,0,0,0,middle
5,15,7,30,17,1,1,5,1,0,0,0,poorer
3,22,14,25,5,1,0,5,1,0,0,1,richest
3,0,7,28,15,1,1,5,0,1,0,0,poorer
3,0,0,25,19,1,0,5,1,0,0,0,middle
2,23,8,32,18,1,1,5,1,0,0,0,middle
4,0,15,29,8,1,1,5,1,0,0,0,poorer
3,0,10,21,5,1,1,5,1,0,0,0,middle
6,0,7,25,12,1,1,5,0,1,0,0,poorer
6,27,7,29,16,1,1,5,0,1,0,0,poorer
4,0,8,39,25,1,0,5,0,1,0,1,richest
4,0,10,34,18,1,0,5,0,1,0,0,richest
3,0,7,23,10,1,1,5,0,1,0,0,poorest
4,0,8,25,11,1,1,5,1,0,0,0,middle
2,15,7,19,6,1,1,5,1,0,0,0,poorest
5,0,13,21,2,1,1,5,1,0,0,0,poorer
5,3,10,28,12,1,0,5,1,0,0,1,richest
6,0,10,18,2,1,1,5,1,0,0,1,middle
5,3,10,23,7,1,1,5,1,0,0,0,poorer
6,0,10,34,18,1,1,5,1,0,0,1,middle
3,0,15,22,1,1,1,5,0,1,0,1,middle
2,13,7,37,24,1,0,5,0,0,1,0,middle
5,16,10,20,4,1,1,5,1,0,0,0,middle
5,0,7,35,22,1,1,5,0,1,0,0,poorest
3,0,7,32,19,1,0,5,1,0,0,0,richer
3,18,5,33,22,1,0,5,0,1,0,0,richer
6,23,3,40,31,1,1,5,0,1,0,0,poorer
6,0,7,39,26,1,1,5,0,1,0,0,poorer
4,28,15,38,17,1,0,5,0,1,0,1,richest
4,17,8,26,12,1,0,5,0,1,0,0,richest
3,15,8,35,21,1,0,5,0,1,0,1,richest
6,0,7,47,34,1,1,5,1,0,0,1,middle
3,26,10,29,13,1,0,5,1,0,0,1,richest
5,21,8,32,18,1,0,5,0,1,0,0,richest
4,17,8,27,13,1,0,5,1,0,0,0,richer
5,22,14,27,7,1,0,5,0,1,0,0,richer
3,0,10,20,4,1,1,5,0,1,0,0,poorer
2,13,8,49,35,1,1,5,1,0,0,1,middle
3,22,10,22,6,1,0,5,0,1,0,0,richest
2,36,10,39,23,1,1,5,1,0,0,0,richer
3,23,7,23,10,1,0,5,0,1,0,0,richest
2,0,0,42,36,1,1,5,1,0,0,0,poorest
2,38,10,39,23,1,0,5,0,1,0,1,middle
2,20,15,27,6,1,0,5,1,0,0,0,richest
2,0,10,45,29,1,1,5,1,0,0,0,middle
5,0,10,37,21,1,1,5,1,0,0,0,poorer
6,0,9,18,3,1,0,5,0,1,0,0,richer
7,24,16,40,18,1,0,5,1,0,0,1,richest
5,0,10,18,2,1,0,5,1,0,0,0,richest
3,0,8,34,20,1,1,5,0,0,0,0,poorest
4,19,8,25,11,1,1,5,1,0,0,0,poorest
3,22,13,22,3,1,1,5,1,0,0,0,middle
2,0,0,38,32,1,1,5,0,0,1,0,poorer
2,0,7,45,32,1,0,5,1,0,0,0,poorer
3,0,0,38,32,1,1,5,0,0,0,0,poorest
6,0,7,45,32,1,1,5,0,1,0,0,middle
4,0,8,23,9,1,1,5,0,1,0,0,richer
4,0,10,20,4,1,0,5,0,1,0,0,richest
3,19,9,22,7,1,0,5,0,1,0,0,richer
2,0,0,45,39,1,1,5,1,0,0,0,poorest
5,0,8,40,26,1,1,5,0,1,0,0,middle
4,24,10,25,9,1,0,5,1,0,0,1,richest
5,21,8,47,33,1,0,5,0,1,0,1,middle
2,0,8,17,3,1,1,5,0,1,0,0,middle
5,0,14,28,8,1,1,5,1,0,0,0,richer
5,10,8,47,33,1,0,5,1,0,0,0,middle
5,0,8,44,30,1,0,5,1,0,0,0,poorest
3,19,12,29,11,1,0,5,1,0,0,0,richest
3,1,7,16,3,1,1,5,1,0,0,0,poorer
6,0,4,45,35,1,1,5,1,0,0,1,poorer
3,0,5,43,32,1,1,5,0,1,0,0,poorest
5,0,6,26,14,1,1,5,1,0,0,0,poorer
5,0,10,22,6,1,0,5,1,0,0,0,middle
4,26,8,42,28,1,0,5,0,1,0,0,richer
3,29,10,29,13,1,0,5,0,1,0,1,richer
3,5,8,19,5,1,0,5,0,0,1,0,richest
3,18,8,30,16,1,0,5,0,1,0,0,richer
5,0,4,49,39,1,1,5,0,1,0,0,poorest
4,26,8,43,29,1,1,5,1,0,0,1,middle
3,37,8,40,26,1,0,5,1,0,0,0,middle
5,22,8,36,22,1,1,5,1,0,0,0,poorer
5,0,15,30,9,1,1,5,1,0,0,0,middle
4,0,7,33,20,1,0,5,0,1,0,0,middle
3,18,14,23,3,1,0,5,0,0,1,1,richest
6,22,4,42,32,1,1,5,1,0,0,1,middle
3,24,14,28,8,1,0,5,1,0,0,1,richest
4,30,7,34,21,1,0,5,1,0,0,0,middle
6,0,1,45,38,1,1,5,0,1,0,0,poorest
3,23,7,33,20,1,1,5,0,1,0,0,poorer
5,17,8,19,5,1,1,5,1,0,0,0,poorer
3,0,10,27,11,1,1,5,0,1,0,0,poorer
2,0,9,20,5,1,1,5,1,0,0,0,poorest
6,0,8,33,19,1,1,5,0,1,0,0,poorer
6,0,7,28,15,1,1,5,0,1,0,0,poorest
6,24,10,27,11,1,1,5,0,1,0,0,middle
3,5,15,30,9,1,1,5,1,0,0,0,richest
4,0,7,47,34,1,1,5,0,1,0,0,poorer
3,2,8,15,1,1,1,5,0,1,0,1,richer
4,30,7,38,25,1,0,5,0,1,0,0,middle
5,21,7,35,22,1,1,5,1,0,0,1,richer
5,0,14,23,3,1,1,5,0,1,0,0,poorer
4,21,14,29,9,1,1,5,1,0,0,0,middle
3,0,8,21,7,1,1,5,1,0,0,0,poorer
6,16,7,25,12,1,0,5,0,1,0,0,richer
5,21,8,47,33,1,0,5,1,0,0,1,richer
3,0,15,35,14,1,1,5,1,0,0,0,middle
2,0,8,36,22,1,1,5,0,1,0,0,poorest
2,24,16,27,5,1,0,5,0,0,1,0,richest
4,0,8,26,12,1,1,5,0,1,0,0,poorest
2,0,8,34,20,1,0,5,0,1,0,0,middle
2,19,8,19,5,1,0,5,0,1,0,0,middle
3,0,8,24,10,1,1,5,1,0,0,0,poorest
3,22,7,23,10,1,0,5,0,1,0,0,poorer
3,0,10,22,6,1,0,5,0,1,0,0,richer
2,0,15,23,2,1,0,5,1,0,0,0,richest
4,19,10,19,3,1,0,5,1,0,0,0,richest
4,19,7,20,7,1,0,5,0,1,0,1,richest
3,0,6,27,15,1,1,5,1,0,0,0,poorest
5,13,2,45,37,1,0,5,0,1,0,1,richer
5,0,8,24,10,1,0,5,1,0,0,0,richest
2,23,15,23,2,1,0,5,1,0,0,0,richest
3,26,8,26,12,1,1,5,0,1,0,0,richest
3,18,12,25,7,1,0,5,1,0,0,0,middle
4,20,3,44,35,1,1,5,0,1,0,0,poorest
4,27,9,27,12,1,0,5,0,1,0,0,poorer
3,33,7,35,22,1,1,5,1,0,0,0,richer
5,19,10,27,11,1,1,5,1,0,0,1,middle
2,38,8,41,27,1,1,5,1,0,0,1,middle
3,38,0,45,39,1,1,5,0,1,0,0,poorest
3,0,15,30,9,1,0,5,1,0,0,0,richer
6,0,5,23,12,1,1,5,1,0,0,0,poorest
