"","age","spotify_plays_day","marital_status","gender","genre","years_since_last_hit","revenue"
"1",47,13,"player","Male","pop",24,338306
"2",44,10,"boring","Male","pop",34,178941
"3",33,9,"player","Male","pop",32,258298
"4",40,10,"player","Male","pop",13,359264
"5",46,10,"player","Male","pop",27,307816
"6",27,3,"player","Male","pop",19,129800
"7",30,13,"player","Male","pop",26,558003
"8",22,13,"single","Male","pop",12,267030
"9",59,9,"boring","Female","pop",44,80061
"10",31,14,"single","Male","pop",19,439864
"11",47,3,"player","Male","pop",37,93087
"12",47,9,"player","Male","pop",40,94750
"13",58,9,"player","Male","pop",50,197313
"14",72,12,"player","Male","pop",27,169160
"15",27,10,"boring","Female","pop",19,495315
"16",17,8,"single","Female","pop",15,447580
"17",18,8,"single","Male","pop",11,768901
"18",30,9,"player","Male","pop",11,459284
"19",46,10,"player","Male","pop",17,213623
"20",64,7,"player","Male","pop",45,69517
"21",18,9,"single","Male","pop",6,270451
"22",57,10,"boring","Male","pop",37,486904
"23",50,6,"boring","Female","pop",36,167229
"24",34,10,"player","Male","pop",30,136585
"25",47,9,"boring","Female","pop",15,270451
"26",54,10,"player","Male","pop",50,168870
"27",56,13,"player","Male","hiphop",39,123126
"28",22,6,"single","Female","hiphop",18,650840
"29",49,9,"player","Male","pop",43,25533
"30",32,14,"single","Male","pop",10,467350
"31",36,10,"player","Male","pop",32,254850
"32",21,10,"single","Male","pop",13,237948
"33",74,4,"boring","Female","pop",44,148481
"34",32,9,"player","Male","pop",24,639265
"35",65,9,"player","Male","pop",48,83652
"36",32,10,"player","Male","pop",16,137622
"37",18,10,"single","Male","pop",8,341161
"38",44,14,"player","Male","pop",40,106441
"39",32,13,"player","Male","pop",20,279027
"40",22,10,"single","Female","pop",17,399128
"41",34,10,"single","Female","pop",17,166881
"42",44,13,"player","Male","pop",14,416869
"43",52,9,"player","Male","pop",41,193894
"44",25,10,"single","Male","pop",11,136913
"45",21,10,"single","Female","hiphop",20,248345
"46",24,14,"single","Female","pop",22,357306
"47",55,12,"player","Male","hiphop",38,194462
"48",21,1,"single","Male","pop",7,810239
"49",20,9,"single","Female","pop",14,284985
"50",61,10,"player","Male","pop",20,378368
"51",51,14,"single","Male","pop",29,312550
"52",36,6,"single","Male","hiphop",17,636908
"53",23,10,"single","Male","hiphop",15,336711
"54",26,15,"single","Female","pop",8,315131
"55",77,14,"player","Male","pop",46,165391
"56",76,6,"boring","Male","hiphop",47,259023
"57",35,5,"player","Male","pop",14,244920
"58",51,9,"player","Male","pop",35,157863
"59",31,4,"single","Female","pop",29,171148
"60",19,10,"single","Female","pop",8,812053
"61",44,9,"player","Female","pop",33,378182
"62",71,9,"boring","Female","pop",40,287654
"63",47,9,"boring","Female","hiphop",30,248365
"64",47,9,"boring","Female","pop",16,177641
"65",39,14,"single","Female","pop",28,404887
"66",42,9,"boring","Female","pop",39,193272
"67",47,10,"player","Male","hiphop",16,260253
"68",56,11,"boring","Male","pop",47,127134
"69",56,13,"boring","Female","pop",44,330471
"70",37,13,"player","Female","hiphop",14,1204152
"71",48,9,"player","Male","pop",24,207238
"72",63,9,"boring","Male","pop",37,212986
"73",57,14,"boring","Male","pop",45,55673
"74",28,13,"single","Female","pop",9,481876
"75",42,13,"player","Male","pop",30,392317
"76",18,7,"single","Male","pop",17,572430
"77",23,9,"single","Female","pop",11,630639
"78",39,10,"boring","Female","pop",20,324871
"79",30,13,"single","Female","hiphop",14,476124
"80",18,8,"single","Male","pop",5,504785
"81",31,9,"boring","Female","pop",15,540327
"82",19,10,"single","Male","pop",16,557170
"83",28,4,"player","Male","pop",26,121204
"84",51,10,"player","Male","pop",43,242735
"85",45,13,"boring","Female","pop",43,158613
"86",34,15,"player","Male","pop",27,295322
"87",30,9,"player","Male","pop",22,394922
"88",23,10,"single","Male","pop",12,355544
